index,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
538,445,Coppeneur,Germany,2009,Peru,"Porcelana, Apotequil",62,3.25,3,Bean,Cocoa butter,,,,Sugar,,woodsy,nutty,,
539,341,Coppeneur,Germany,2009,Peru,"Porcelana, Apotequil",72,3,3,Bean,Cocoa butter,,,,Sugar,,creamy,buttery,non descript,
540,470,Coppeneur,Germany,2010,Grenada,Grenada,72,3.25,3,Bean,Cocoa butter,,,,Sugar,,coffee and cocoa,,,
541,558,Coppeneur,Germany,2010,Jamaica,Jamaica,72,3.25,3,Bean,Cocoa butter,,,,Sugar,,oily,fatty,rum,
542,558,Coppeneur,Germany,2010,Venezuela,Ocumare 61,72,3.25,3,Bean,Cocoa butter,,,,Sugar,,oily,coffee,,
543,478,Coppeneur,Germany,2010,Venezuela,Chuao,70,3,3,Bean,Cocoa butter,,,,Sugar,,fruity,bland,,
544,558,Coppeneur,Germany,2010,Trinidad,Trinidad,72,3,3,Bean,Cocoa butter,,,,Sugar,,dry,spicy,woody,
545,558,Coppeneur,Germany,2010,Ecuador,"Los Rios, H. Iara",72,2.5,3,Bean,Cocoa butter,,,,Sugar,,harsh aroma,melon floral,off,
546,821,Coppeneur,Germany,2012,Blend,"Uba Budo, Sao Tome & Principe",72,3.75,3,Bean,Cocoa butter,,,,Sugar,,creamy,nutty,cocoa,
547,813,Coppeneur,Germany,2012,Ghana,Ghana Puristique,85,3.5,3,Bean,Cocoa butter,,,,Sugar,,silky,minty,,
548,959,Coppeneur,Germany,2012,Madagascar,Madagascar,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,sweet,tart red berry,
549,1169,Coppeneur,Germany,2013,Ecuador,"Ecuador, Puristique",65,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,oily,fragrant,spciy,
550,1984,Coppeneur,Germany,2017,Ghana,Ghana,75,3.75,3,Bean,Cocoa butter,,,,Sugar,,oily,rich cocoa,nutty,
551,975,Cravve,Australia,2012,Papua new guinea,"Djual Island, batch 1712",75,3.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,sweet,nutty,
552,971,Cravve,Australia,2012,Tanzania,"Tanzania, batch a1",75,3.25,3,Bean,Cocoa butter,,,,Sugar,,spice,roasty,off fatty note,
553,975,Cravve,Australia,2012,Brazil,"Bahia, batch a1213",65,3.25,3,Bean,Cocoa butter,,,,Sugar,,sandy,sweet,smokey,
554,975,Cravve,Australia,2012,Fiji,"Namau Village, N. Taileva P., batch a2812",67,3.25,3,Bean,Cocoa butter,,,,Sugar,,acidic,sweet,cucumber,
555,975,Cravve,Australia,2012,Vanuatu,"Vanuatu, batch 2410",64,3.25,3,Bean,Cocoa butter,,,,Sugar,,sandy,sweet,spicy,roasty
556,1335,Cravve,Australia,2014,Vanuatu,"Vanuatu, batch 2410",83,2.75,3,Bean,Cocoa butter,,,,Sugar,,banana nut,,,
557,1283,Cravve,Australia,2014,Papua new guinea,"New Ireland, batch 1702",70,2.5,3,Bean,Cocoa butter,,,,Sugar,,true to sugar,molasses,,
558,1736,Creo,U.S.A,2016,Ecuador,"""heirloom"", Arriba Nacional",73,3.75,3,Bean,Cocoa butter,,,,Sugar,,creamy,complex,fruity,
559,1736,Creo,U.S.A,2016,Ecuador,"""heirloom"", Arriba Nacional",85,3.25,3,Bean,Cocoa butter,,,,Sugar,,oily,mild bitter,nutty,fruit
560,2466,Crow and Moss,U.S.A,2020,Honduras,"Wampusirpi, batch 41",70,3.5,2,Bean,,,,,Sugar,,banana,spicy,grassy,
561,2466,Crow and Moss,U.S.A,2020,Dominican republic,"Zorzal, batch 40",70,3.25,2,Bean,,,,,Sugar,,deep cherry,earthy,rubbery,
562,2466,Crow and Moss,U.S.A,2020,Colombia,"Aruaca, batch 39",70,3.25,2,Bean,,,,,Sugar,,nutty,citrus,,
563,785,Daintree,Australia,2011,Australia,"Daintree Estates, N. Queensland",70,3.25,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,vanilla,banana,citrus,
564,1654,Daintree,Australia,2015,Australia,Goodman Estate,70,2.75,3,Bean,Cocoa butter,,,,Sugar,,sandy,candy like vanilla,off,
565,1928,Dalloway,U.S.A,2017,Dominican republic,"Dominican Republic, batch 7",72,2.75,2,Bean,,,,,Sugar,,hammy,sour,astringent,
566,1610,Damson,U.k.,2015,Ecuador,Los Rios,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,floral,banana,,
567,1610,Damson,U.k.,2015,Trinidad,Robson Estate,70,3,3,Bean,Cocoa butter,,,,Sugar,,floral,sour,synthetic,off
568,1666,Damson,U.k.,2015,Nicaragua,O'Payo,70,2.75,3,Bean,Cocoa butter,,,,Sugar,,oily,grapes,pungent,
569,1666,Damson,U.k.,2015,Grenada,Crayfish Bay aka Non Pariel Estate,70,2.25,3,Bean,Cocoa butter,,,,Sugar,,off,pungent,intense,
570,2064,Damson,U.k.,2018,Blend,"Angel Bar, Nicaragua, Madagascar",65,2.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sweet,vinegar,,
571,915,Dandelion,U.S.A,2012,Dominican republic,"Elvesia, 2011",70,3.75,2,Bean,,,,,Sugar,,spicy,fudgey,,
572,805,Dandelion,U.S.A,2012,Colombia,Colombian,70,3.25,2,Bean,,,,,Sugar,,grassy,green,candy spice,
573,805,Dandelion,U.S.A,2012,Costa rica,Upala,70,3,2,Bean,,,,,Sugar,,dried fruit,tannic,,
574,1085,Dandelion,U.S.A,2013,Venezuela,"Mantuano, 2012, batch 1",70,3.5,2,Bean,,,,,Sugar,,roasty,oreo shell,coffee,
575,1153,Dandelion,U.S.A,2013,Papua new guinea,"Papua New Guinea, batch 1",70,3.5,2,Bean,,,,,Sugar,,mild smoke,raspberry,cocoa,
576,1026,Dandelion,U.S.A,2013,Venezuela,"Patanemo, batch 3",70,3.25,2,Bean,,,,,Sugar,,licorice,sour,rich cocoa,
577,1026,Dandelion,U.S.A,2013,Venezuela,"Cumboto, farmer Jose Lugo, batch 1",70,2.75,2,Bean,,,,,Sugar,,acidic,sour,cocoa,
578,1387,Dandelion,U.S.A,2014,Dominican republic,"San Francisco de Macoris, Cibao region",70,3.75,2,Bean,,,,,Sugar,,cherry,rich choco,,
579,1219,Dandelion,U.S.A,2014,Belize,Maya Mountain,70,3.5,2,Bean,,,,,Sugar,,heavy roast,blackberry,,
580,1295,Dandelion,U.S.A,2014,Ecuador,"Camino Verde P., Balao, Guayas, 2013",70,3.5,2,Bean,,,,,Sugar,,gummy,nutty,bourbon,
581,1303,Dandelion,U.S.A,2014,Liberia,Buto,70,2.75,2,Bean,,,,,Sugar,,roasty,spicy,nutty,
582,1446,Dandelion,U.S.A,2015,Belize,"Maya Mtn., Break Bar- Snark",70,3,2,Bean,,,,,Sugar,,intense,roasty,coffee,raisin
583,1816,Dandelion,U.S.A,2016,Dominican republic,"Zorzal Reserva, 2015 H., Kerchner",70,3.75,2,Bean,,,,,Sugar,,cherry,rich choco,,
584,2024,Dandelion,U.S.A,2017,Costa rica,"Hacienda Azul, 2016 Harvest",70,3,2,Bean,,,,,Sugar,,cocoa,sour,toffee,earthy
585,2178,Dandelion,U.S.A,2018,India,"Anamalai, 2017 harvest",70,3.5,2,Bean,,,,,Sugar,,ripe orange,citrus,,
586,2178,Dandelion,U.S.A,2018,Honduras,"WAPU, La Mosquitia, 2017 harvest",70,3.25,2,Bean,,,,,Sugar,,nutty,moderate acidity,,
587,2178,Dandelion,U.S.A,2018,Sierra leone,"Gola Rainforest, 2017 harvest",70,3,2,Bean,,,,,Sugar,,vegetal,high astringency,,
588,2386,Dandelion,U.S.A,2019,Vietnam,"Ben Tre, 2018 Harvest",70,3.5,2,Bean,,,,,Sugar,,green apple,sticky,,
589,654,Dandelion (aka Brower Ave),U.S.A,2011,Dominican republic,Dominican Republic,70,3.25,2,Bean,,,,,Sugar,,grassy,fruity,brownie,
590,654,Dandelion (aka Brower Ave),U.S.A,2011,Madagascar,Madagascar,70,3.25,2,Bean,,,,,Sugar,,brownie,red berry,,
591,654,Dandelion (aka Brower Ave),U.S.A,2011,Tanzania,Tanzania,70,3.25,2,Bean,,,,,Sugar,,cocoa flavor dominates,,,
592,423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,60,3.25,4,Bean,Cocoa butter,Vanilla,,,Sugar,,wood,holiday spice,soap,
593,423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,75,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,dark woody,plum,astringent,
594,661,Danta,Guatemala,2011,Guatemala,Los Ujuxtes,60,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,oily,dried fruit,vanilla,
595,987,Danta,Guatemala,2012,Guatemala,Las Acacias E.,70,4,2,Bean,,,,,Sugar,,sweet spice,floral,,
596,987,Danta,Guatemala,2012,Guatemala,Los Ujuxtes,70,3.75,2,Bean,,,,,Sugar,,spicy,,,
597,987,Danta,Guatemala,2012,Madagascar,Sambirano,70,3.75,2,Bean,,,,,Sugar,,oily,toffee,hints of fruit,
598,991,Danta,Guatemala,2012,Guatemala,"Oscuro, Finca Chimelb",70,3.25,2,Bean,,,,,Sugar,,nutty,ashey,spicy pepper,
599,987,Danta,Guatemala,2012,Venezuela,Chuao,75,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,gummy,fatty,caramel,
600,1223,Danta,Guatemala,2014,Guatemala,Los Ujuxtes,82,3.25,4,Bean,Cocoa butter,Vanilla,,,Sugar,,fatty,sunflower,peanutbutter,
601,1920,DAR,U.S.A,2016,Blend,"DUO, batch 002, Ecuador, Costa Rica",70,3.25,2,Bean,,,,,Sugar,,floral,licorice,roasty,
602,1920,DAR,U.S.A,2016,Vietnam,Vietnam,72,3,2,Bean,,,,,Sugar,,raisins,astringent,,
603,1920,DAR,U.S.A,2016,Venezuela,"Venezuela, batch 122",72,2.75,2,Bean,,,,,Sugar,,nut,tobacco,burnt,off notes
604,2342,Darcis,Belgium,2019,Vietnam,Mekong Delta,70,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,muted,creamy,basic cocoa,
605,2342,Darcis,Belgium,2019,Peru,Piura,72,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,muted,creamy,grapes,fatty
606,1550,Dark Forest,U.S.A,2015,Venezuela,Ocumare,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,roasty,nutty,sweet,
607,1554,Dark Forest,U.S.A,2015,Ecuador,Ecuador,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,bold,floral,rum,
608,1550,Dark Forest,U.S.A,2015,Madagascar,Madagascar,70,3,3,Bean,Cocoa butter,,,,Sugar,,sweet,strong sour,acidic,
609,1554,Dark Forest,U.S.A,2015,Tanzania,Tanzania,70,3,3,Bean,Cocoa butter,,,,Sugar,,intense,sweet,brownie,
610,1708,Dark Forest,U.S.A,2016,Bolivia,Bolivia,75,3.25,3,Bean,Cocoa butter,,,,Sugar,,mild cherry,fatty,,
611,907,Davis,U.S.A,2012,Blend,West Africa,58,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,nice melt,odd rubber notes,,
612,1093,Davis,U.S.A,2013,Dominican republic,Rainforest,70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,chalky,vanilla,caramel,
613,1093,Davis,U.S.A,2013,Venezuela,Venezuela,70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,fatty,powdery,nut,sl. Burnt
614,1093,Davis,U.S.A,2013,Ghana,Ghana,70,2.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,vanilla,fatty,basic cocoa,
615,1462,De Mendes,Brazil,2015,Brazil,"Nativo, Varzea",72,3.5,3,Bean,Cocoa butter,,,,Sugar,,texture issues,brownie,,
616,1462,De Mendes,Brazil,2015,Brazil,"Selvagem, Jari",65,3.5,3,Bean,Cocoa butter,,,,Sugar,,one dimensional,brownie,,
617,1832,De Villiers,South africa,2016,Madagascar,"Sambirano Valley, batch 2477",70,3,3,Bean,Cocoa butter,,,,Sugar,,high roast,fruit,,
618,1832,De Villiers,South africa,2016,Uganda,Bundibugyo District,70,2.5,3,Bean,Cocoa butter,,,,Sugar,,high roast,intense,fatty,
619,175,Dean and Deluca (Belcolade),U.S.A,2007,Costa rica,Costa Rica,64,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,dark coffee,cocoa,,
620,175,Dean and Deluca (Belcolade),U.S.A,2007,Ecuador,Ecuador,71,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,cinamon,nutmeg,coffee,
621,175,Dean and Deluca (Belcolade),U.S.A,2007,Ghana,Ghana,60,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,nutty,simple,sweet,
622,180,Dean and Deluca (Belcolade),U.S.A,2007,Papua new guinea,Papua New Guinea,64,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,waxy,tobacco,smokey,
623,180,Dean and Deluca (Belcolade),U.S.A,2007,Peru,Peru,64,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,mild mint,basic cocoa,,
624,170,Dean and Deluca (Belcolade),U.S.A,2007,Madagascar,Madagascar,66,2.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sandy,cloying,rich cocoa,
625,263,Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,Venezuela,66,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,fatty,rich cocoa,roasty,
626,423,Debauve & Gallais (Michel Cluizel),France,2009,Papua new guinea,Papua New Guinea,64,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,smokey,chalky,berry,caramel
627,2222,Definite,Dominican republic,2018,Dominican republic,Duarte Province,80,3,2,Bean,,,,,Sugar,,mild bitter,fatty,grassy,
628,2222,Definite,Dominican republic,2018,Dominican republic,Duarte Province,70,2.6,2,Bean,,,,,Sugar,,dirty,floral,unrefined,
629,2222,Definite,Dominican republic,2018,Dominican republic,Elvesia,70,2.5,2,Bean,,,,,Sugar,,metallic,dirt/ earthy,,
630,1916,Desbarres,Canada,2016,Tanzania,"Kilombero, batch 41",72,2.5,2,Bean,,,,,Sugar,,vanilla,chemical,rubber,
631,2422,Desbarres,Canada,2019,Guatemala,"Monte Grande, batch 178",72,3,2,Bean,,,,,Sugar,,smokey,roasty,acidic,rich
632,166,DeVries,U.S.A,2007,Costa rica,Costa Rica,77,3.5,2,Bean,,,,,Sugar,,red berry,lingering coffee,,
633,166,DeVries,U.S.A,2007,Dominican republic,Dominican Republic,77,3.5,2,Bean,,,,,Sugar,,sticky,woodsy,rum,
634,241,DeVries,U.S.A,2008,Bolivia,Bolivian,80,2.75,2,Bean,,,,,Sugar,,intense fruit,bitter ending,,
635,769,Dick Taylor,U.S.A,2011,Ecuador,Ecuador,70,3.25,2,Bean,,,,,Sugar,,grassy,tea,late sour,
636,769,Dick Taylor,U.S.A,2011,Dominican republic,La Red,74,3,2,Bean,,,,,Sugar,,earthy,tart,sour,
637,661,Dick Taylor,U.S.A,2011,Madagascar,Sambirano,80,2.75,2,Bean,,,,,Sugar,,sandy,flat,hint of berry,
638,682,Dick Taylor,U.S.A,2011,Venezuela,Mantuano,75,2.75,2,Bean,,,,,Sugar,,sticky,very roasty,nutty,
639,895,Dick Taylor,U.S.A,2012,Bolivia,Bolivia,75,2.75,2,Bean,,,,,Sugar,,dry,mint,medicinal,
640,1193,Dick Taylor,U.S.A,2013,Ecuador,Camino Verde,76,3.5,2,Bean,,,,,Sugar,,butter,floral,rum,
641,1034,Dick Taylor,U.S.A,2013,Ecuador,"Ecuador, Choc. Garage Exclusive",70,3.25,2,Bean,,,,,Sugar,,oily,black pepper,roasty,
642,1235,Dick Taylor,U.S.A,2014,Dominican republic,Elvesia,74,3.5,2,Bean,,,,,Sugar,,mild fruit and spice,roasty,,
643,1634,Dick Taylor,U.S.A,2015,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.",70,3.75,2,Bean,,,,,Sugar,,sticky,rich,cherry,
644,1864,Dick Taylor,U.S.A,2016,Vietnam,Tien Giang,78,3.5,2,Bean,,,,,Sugar,,tropical berry,intense,,
645,2016,Dick Taylor,U.S.A,2017,Solomon islands,"Solomon Is.,batch 17158, N.Vela",72,4,2,Bean,,,,,Sugar,,well defined,creamy,cherry,
646,1952,Dick Taylor,U.S.A,2017,Guatemala,Lanquin Estate,70,3.75,2,Bean,,,,,Sugar,,blackberry,raisns,,
647,1972,Dick Taylor,U.S.A,2017,Brazil,"Fazenda Camboa, Bahia, batch 17009",75,3.75,2,Bean,,,,,Sugar,,sticky,roasty nibs,grapes,
648,2258,Dick Taylor,U.S.A,2018,Fiji,"Vanua Levu, Matasawalevu",80,3.75,2,Bean,,,,,Sugar,,cocoa,tea,malt,
649,2270,Dick Taylor,U.S.A,2019,Belize,"Maya Mtn, Toledo",72,4,2,Bean,,,,,Sugar,,creamy,sticky,dried fruit,
650,2434,Dick Taylor,U.S.A,2019,Madagascar,"Akesson P., Sambirano",72,3.75,2,Bean,,,,,Sugar,,sticky,dried fruit,toast,cocoa
651,2466,Dick Taylor,U.S.A,2020,Blend,"Northerner, Madagascar and Brazil",73,3.5,2,Bean,,,,,Sugar,,burnt honey,earthy,,
652,2402,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch OST-18-01",65,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,complex,sweet,sour,grassy
653,2406,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch TRI-18-002, trinitario",75,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,bland,fatty,fruit,
654,2402,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, unroasted, batch UNR-18-003",70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,cocoa,raw,dirty,chemical
655,2406,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, Grand Cru Plantation, amelonado",75,2.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,late cocoa,harsh,off notes,
656,1407,Doble & Bignall,U.k.,2014,Nicaragua,Johe,72,3.5,3,Bean,Cocoa butter,,,,Sugar,,nutty,caramel,toffee,
657,1371,Doble & Bignall,U.k.,2014,Panama,"Panama, Raven",72,3.25,3,Bean,Cocoa butter,,,,Sugar,,mild cherry,earthy,,
658,1371,Doble & Bignall,U.k.,2014,Venezuela,"Puerto Cabello, Mantuano",72,3.25,3,Bean,Cocoa butter,,,,Sugar,,fatty,rasin,nutty,
659,1688,Doble & Bignall,U.k.,2015,Venezuela,Puerto Cabello,85,3,3,Bean,Cocoa butter,,,,Sugar,,intense,spicy,floral,
660,63,Dolfin (Belcolade),Belgium,2006,Blend,Noir,70,1.5,3,Bean,,,Lecithin,,Sugar,,acidic,astringent,unpleasant,
661,304,Dolfin (Belcolade),Belgium,2008,Blend,"Africa, West Africa",88,3,3,Bean,,,Lecithin,,Sugar,,sticky,floral,,
662,87,Domori,Italy,2006,Venezuela,Carenero Superior,70,3.5,2,Bean,,,,,Sugar,,creamy,basic cocoa,,
663,87,Domori,Italy,2006,Peru,Apurimac,70,3.25,2,Bean,,,,,Sugar,,floral,olive,,
664,87,Domori,Italy,2006,Venezuela,Sur del Lago Classificado,70,3,2,Bean,,,,,Sugar,,long lasting,fruit,,
665,111,Domori,Italy,2007,Venezuela,Porcelana,70,4,2,Bean,,,,,Sugar,,creamy,complex,coffee,
666,192,Domori,Italy,2007,Ecuador,Ecuador,70,4,2,Bean,,,,,Sugar,,creamy,nuts,woody,cocoa
667,192,Domori,Italy,2007,Venezuela,"Ocumare 67, Puertofino",70,4,2,Bean,,,,,Sugar,,creamy,mint,tobacco,olive
668,192,Domori,Italy,2007,Indonesia,"Java, Javablond",70,3.75,2,Bean,,,,,Sugar,,creamy,smokey,tobacco,
669,135,Domori,Italy,2007,Madagascar,Madagascar,70,3.5,2,Bean,,,,,Sugar,,fruity,basic cocoa,,
670,192,Domori,Italy,2007,Madagascar,Madagared,70,3.5,2,Bean,,,,,Sugar,,smooth,banana,cocoa,
671,129,Domori,Italy,2007,Venezuela,"Ocumare 61, Puertomar",75,3.25,2,Bean,,,,,Sugar,,sticky,smoke,ham,earthy
672,135,Domori,Italy,2007,Venezuela,Granella,60,3.25,2,Bean,,,,,Sugar,,mild spice,licorice,,
673,272,Domori,Italy,2008,Blend,Ilblend,70,3.75,2,Bean,,,,,Sugar,,sticky,olive,,
674,272,Domori,Italy,2008,Blend,Blend No. 1,78,3.5,2,Bean,,,,,Sugar,,sticky,grassy,coffee,
675,227,Domori,Italy,2008,Venezuela,"Carupano, H. San Jose",70,3,2,Bean,,,,,Sugar,,cucumber,hot spices,,
676,272,Domori,Italy,2008,Colombia,Teyuna,70,3,2,Bean,,,,,Sugar,,creamy,woody,earthy,
677,470,Domori,Italy,2010,Venezuela,"Chuao, Hacienda San Jose",70,3,2,Bean,,,,,Sugar,,subtle,caramel,sour milk,
678,693,Domori,Italy,2011,Venezuela,"Canoabo, Hacienda San Jose",70,3.5,2,Bean,,,,,Sugar,,smooth,intense,smoke,nut
679,863,Domori,Italy,2012,Venezuela,Guasare,70,3.75,2,Bean,,,,,Sugar,,creamy,coffee,caramel,
680,863,Domori,Italy,2012,Tanzania,Morogoro,70,3.5,2,Bean,,,,,Sugar,,sticky,nutty,,
681,1672,Domori,Italy,2015,Ecuador,Hacienda Victoria,70,3.75,2,Bean,,,,,Sugar,,floral,well developed,creamy,
682,1672,Domori,Italy,2015,Venezuela,Ocumare 77,70,3.75,2,Bean,,,,,Sugar,,nutty,strawberry,creamy,
683,2040,Domori,Italy,2018,Tanzania,Tanzania,70,4,2,Bean,,,,,Sugar,,creamy,sticky,fruit,
684,1676,Dormouse,U.k.,2015,Colombia,"Colombia, Batch 9",80,2.75,3,Bean,Cocoa butter,,,,Sugar,,bitter,molasses,marshmallow,
685,1676,Dormouse,U.k.,2015,Madagascar,"Madagascar, Batch 8",77,2.75,3,Bean,Cocoa butter,,,,Sugar,,fruity,molasses,,
686,1672,Dormouse,U.k.,2015,Venezuela,"Rio Caribe, Batch 7",70,2.5,3,Bean,Cocoa butter,,,,Sugar,,burnt rubber,molasses,,
687,1880,Dormouse,U.k.,2016,Grenada,Non Pariel Estate,75,2.75,3,Bean,Cocoa butter,,,,,Sweetener without sugar,licorice,molasses,rubber,
688,2052,Dormouse,U.k.,2018,Guatemala,"Verapaz, batch 254",72,3.5,3,Bean,Cocoa butter,,,,,Sweetener without sugar,near perfect shine,cocoa,,
689,2096,Dormouse,U.k.,2018,Peru,"Piura, batch 274",80,3.5,2,Bean,,,,,,Sweetener without sugar,molasses,fruit,,
690,2052,Dormouse,U.k.,2018,Philippines,"Kablon Farm, batch 242",71.5,2.75,3,Bean,Cocoa butter,,,,,Sweetener without sugar,molasses notes from sugar,,,
691,2390,Double Spiral,U.S.A,2019,Dominican republic,Hispaniola,75,3,2,Bean,,,,,Sugar,,dry,cocoa,grassy,spicy
692,2390,Double Spiral,U.S.A,2019,Tanzania,Kokoa Kamili,70,2.75,2,Bean,,,,,Sugar,,dry,sour,sweet,mild fruit
693,2390,Double Spiral,U.S.A,2019,Dominican republic,Oko Caribe,75,2.5,2,Bean,,,,,Sugar,,dry,earthy,walnut,
694,516,Duffy's,U.k.,2010,Ecuador,"Corazon del Ecuador, Calceta beans",72,3.75,3,Bean,Cocoa butter,,,,Sugar,,rich cocoa,fruity,strong floral,
695,523,Duffy's,U.k.,2010,Peru,Star of Peru,70,3.75,3,Bean,Cocoa butter,,,,Sugar,,dark forest berry,spice,,
696,516,Duffy's,U.k.,2010,Panama,Panama,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,caramel and cocoa,,,
697,523,Duffy's,U.k.,2010,Ecuador,Star of Ecuador,70,2.5,3,Bean,Cocoa butter,,,,Sugar,,chalky,bread,dirt,
698,623,Duffy's,U.k.,2011,Honduras,"Indio Rojo, Xoco",72,3.75,3,Bean,Cocoa butter,,,,Sugar,,dried fruit,grapes,sour,
699,661,Duffy's,U.k.,2011,Dominican republic,Dominican Republic,65,3.5,3,Bean,Cocoa butter,,,,Sugar,,heavy roast,woody,berry,
700,765,Duffy's,U.k.,2011,Venezuela,Ocumare,71,3.5,3,Bean,Cocoa butter,,,,Sugar,,intense cocoa,,,
701,697,Duffy's,U.k.,2011,Nicaragua,"Nicaliso, Xoco",71,3.25,3,Bean,Cocoa butter,,,,Sugar,,intense,almond,coffee,
702,697,Duffy's,U.k.,2011,Panama,"Bocas del Toro, Tierra Oscura",72,3,3,Bean,Cocoa butter,,,,Sugar,,licorice,leathery,,
703,923,Duffy's,U.k.,2012,Venezuela,Ocumare,72,3.75,3,Bean,Cocoa butter,,,,Sugar,,creamy,nutty,,
704,1331,Duffy's,U.k.,2014,Nicaragua,"Rico Rugoso, Xoco",76,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,black pepper,rich,intense,
705,1331,Duffy's,U.k.,2014,Nicaragua,"Chuno, Xoco",70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sandy,full bodied,spicy,
706,1662,Duffy's,U.k.,2015,Guatemala,"Rio Dulce, Xoco",70,4,4,Bean,Cocoa butter,,Lecithin,,Sugar,,intense,spicy,butterscotch,
707,1964,Duffy's,U.k.,2017,Nigeria,Eti-Oni,70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,candy like off flavor,,,
708,2100,Duffy's,U.k.,2018,Guatemala,Mayan Red,80,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,intense earthy,cocoa,roasty,
709,2366,Duffy's,U.k.,2019,Philippines,South Cotabato,70,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,cocoa,honey,watery,sweet
710,1506,Dulcinea,U.S.A,2015,Dominican republic,"Dominican Republic, batch 1507",70,3.25,2,Bean,,,,,Sugar,,coarse,earthy,mild banana,
711,1630,Durci,U.S.A,2015,Ecuador,Corona Arriba,70,4,3,Bean,Cocoa butter,,,,Sugar,,blackberry and cinnamon,,,
712,1626,Durci,U.S.A,2015,Peru,"Maranon, Joya Rara",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,orange,butterscotch,
713,1626,Durci,U.S.A,2015,Venezuela,"Rio Caribe, Tepui Treasure",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,fatty,roasty,intense brownie,
714,1630,Durci,U.S.A,2015,Dominican republic,Taino Secret,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,dates,acidic,rich cocoa,
715,1630,Durci,U.S.A,2015,Venezuela,"Carenero, Empyrean Sabor",70,3.25,3,Bean,Cocoa butter,,,,Sugar,,cherry,earthy,tobacco,
716,2040,Durci,U.S.A,2018,Peru,Piura Blanco,70,4,3,Bean,Cocoa butter,,,,Sugar,,smoth,dense,grape,
717,1343,East Van Roasters,Canada,2014,Dominican republic,"Dominican Republic, batch DR113",70,3.75,3,Bean,Cocoa butter,,,,Sugar,,spicy,cocoa,,
718,1343,East Van Roasters,Canada,2014,Madagascar,"Madagascar, batch M132",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,ultra fruity,,,
719,1343,East Van Roasters,Canada,2014,Peru,"Peru, batch P116",70,3.25,3,Bean,Cocoa butter,,,,Sugar,,waxy,spicy,tobacco,
720,1812,Eau de Rose,Canada,2016,Colombia,Tumaco,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,dried fruit,strong floral,,
721,1812,Eau de Rose,Canada,2016,Colombia,Arauca,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,mild,dried fruit,chocolate,
